comentario,toxico
você é um idiota,1
você é um lixo,1
você é horrível,1
você é patético,1
você é ridículo,1
você é uma vergonha,1
você é inútil,1
você é desprezível,1
você é nojento,1
você é um fracasso,1
eu te odeio,1
odeio você,1
tenho raiva de você,1
não suporto você,1
você me irrita,1
isso é horrível,1
isso é um lixo,1
isso é péssimo,1
isso é ridículo,1
isso é nojento,1
você é incrível,0
você é muito bom,0
você é excelente,0
você é inteligente,0
você é talentoso,0
você é legal,0
você é uma pessoa boa,0
você é incrível mesmo,0
você é ótimo,0
você é muito inteligente,0
eu gosto de você,0
gosto de você,0
eu te admiro,0
você é especial,0
você é importante,0
isso é muito bom,0
isso ficou ótimo,0
isso está excelente,0
isso ficou incrível,0
isso está perfeito,0
ok,0
entendi,0
tudo bem,0
certo,0
normal,0
não gostei muito,1
não ficou bom,1
isso não está legal,1
esperava mais,1
não me agradou,1
não é ruim,0
não está tão ruim,0
até que está bom,0
poderia ser pior,0
não é tão ruim assim,0
você é incrível,0
você é maravilhoso,0
você é muito bom,0
você é excelente,0
você é uma pessoa incrível,0
você é inteligente,0
você é muito inteligente,0
você é legal,0
você é muito legal,0
você é incrível mesmo,0
você é ótimo,0
você é uma pessoa boa,0
você é talentoso,0
você é dedicado,0
você é esforçado,0
você é muito competente,0
você é admirável,0
você é uma boa pessoa,0
você é especial,0
você é importante,0
você é um idiota,1
você é um lixo,1
você é horrível,1
você é ridículo,1
você é patético,1
você é inútil,1
você é uma vergonha,1
você é desprezível,1
você é nojento,1
você é um fracasso,1
você é incompetente,1
você é muito burro,1
você é irritante,1
você é insuportável,1
você é péssimo,1
você é totalmente inútil,1
você é horrível mesmo,1
você é muito ruim,1
você é um desastre,1
você é terrível,1
eu te odeio,1
odeio você,1
eu odeio isso,1
tenho raiva de você,1
eu te detesto,1
não suporto você,1
eu tenho ódio disso,1
odeio esse comportamento,1
odeio essa atitude,1
eu não gosto de você,1
eu gosto de você,0
eu gosto disso,0
eu adoro isso,0
gosto de você,0
eu admiro você,0
eu gosto muito disso,0
eu gostei disso,0
isso me agrada,0
eu achei bom,0
isso é agradável,0
isso é muito bom,0
isso ficou ótimo,0
isso está excelente,0
isso ficou incrível,0
isso está perfeito,0
isso está muito bom,0
isso ficou muito bom,0
isso está maravilhoso,0
isso está bem feito,0
isso ficou excelente,0
isso é horrível,1
isso é um lixo,1
isso é péssimo,1
isso é ridículo,1
isso é nojento,1
isso é ruim,1
isso é muito ruim,1
isso está terrível,1
isso está horrível,1
isso ficou péssimo,1
ok,0
entendi,0
certo,0
tudo bem,0
normal,0
tranquilo,0
de boa,0
sem problemas,0
tudo certo,0
beleza,0
não é ruim,0
não está tão ruim,0
até que está bom,0
poderia ser pior,0
não é tão ruim assim,0
não está péssimo,0
não ficou tão ruim,0
não achei ruim,0
não é horrível,0
não está tão mal,0
não gostei muito,1
não ficou bom,1
isso não está legal,1
esperava mais,1
não me agradou,1
isso não foi bom,1
não gostei disso,1
isso não está bom,1
não foi uma boa ideia,1
não curti isso,1
isso poderia melhorar,0
não ficou perfeito,0
está mais ou menos,0
não é o melhor,0
é aceitável,0
não impressiona,0
já vi melhor,0
é razoável,0
não é ruim nem bom,0
dá para melhorar,0
ótimo trabalho,0
excelente trabalho,0
bom trabalho,0
parabéns pelo trabalho,0
trabalho bem feito,0
resultado excelente,0
muito bom trabalho,0
ótima execução,0
ótima apresentação,0
excelente resultado,0
péssimo trabalho,1
trabalho ruim,1
isso ficou ruim,1
resultado horrível,1
péssima execução,1
péssima apresentação,1
isso foi um erro,1
isso foi horrível,1
isso deu errado,1
resultado ruim,1
gostei bastante,0
gostei muito,0
curti isso,0
achei muito bom,0
isso ficou legal,0
isso ficou bacana,0
muito interessante,0
bem feito,0
excelente ideia,0
ótima ideia,0
não gostei nada,1
detestei isso,1
isso é horrível mesmo,1
isso é muito ruim mesmo,1
isso é um desastre,1
isso é péssimo mesmo,1
isso é lixo,1
isso é terrível mesmo,1
isso é ruim demais,1
isso é horrível demais,1
você é muito gentil,0
você é educado,0
você é respeitoso,0
você é incrível de verdade,0
você é uma ótima pessoa,0
você é muito competente,0
você é brilhante,0
você é muito dedicado,0
você é confiável,0
você é muito esforçado,0
você é um idiota completo,1
você é um lixo mesmo,1
você é totalmente ridículo,1
você é muito irritante,1
você é um desastre total,1
você é completamente inútil,1
você é um péssimo exemplo,1
você é horrível de verdade,1
você é muito incompetente,1
você é insuportável mesmo,1
eu adorei isso,0
isso ficou muito bom,0
isso está muito legal,0
isso está ótimo mesmo,0
isso ficou perfeito,0
isso está incrível,0
isso ficou excelente,0
isso está bem feito,0
isso ficou maravilhoso,0
isso está muito bom mesmo,0
isso é horrível mesmo,1
isso ficou péssimo,1
isso está muito ruim,1
isso ficou horrível,1
isso está um lixo,1
isso ficou ridículo,1
isso está nojento,1
isso ficou muito ruim,1
isso é totalmente ruim,1
isso ficou terrível,1
eu gostei disso,0
gostei bastante disso,0
eu curti isso,0
eu gostei muito disso,0
isso me agradou,0
eu achei legal,0
isso ficou bacana,0
eu gostei bastante,0
isso ficou interessante,0
eu gostei muito,0
eu odiei isso,1
eu detestei isso,1
isso me irrita,1
isso é muito ruim,1
isso é péssimo,1
isso me deu raiva,1
isso é horrível,1
isso é muito irritante,1
isso é um desastre,1
isso me incomoda muito,1
tudo certo aqui,0
sem problemas aqui,0
está tudo normal,0
ok está bom,0
tudo tranquilo,0
de boa isso,0
tudo funcionando,0
nada demais,0
tudo em ordem,0
está ok,0
isso não ficou bom,1
não gostei disso,1
isso não me agradou,1
não foi legal,1
isso não está bom,1
não ficou bom,1
isso não está legal,1
não curti isso,1
não gostei muito disso,1
isso não ficou bom mesmo,1
não é tão ruim,0
não ficou tão ruim,0
até que está bom,0
não é péssimo,0
não ficou horrível,0
dá para aceitar,0
é razoável,0
não é tão ruim assim,0
poderia ser pior,0
não está tão mal,0
ótimo resultado,0
excelente resultado,0
bom resultado,0
resultado muito bom,0
resultado incrível,0
resultado ruim,1
resultado péssimo,1
resultado horrível,1
resultado muito ruim,1
resultado decepcionante,1
